date,missed_calls_by_language
29/07/2023,Tamil
30/07/2023,English
30/07/2023,Sinhala
31/07/2023,English
31/07/2023,Sinhala
01/08/2023,Tamil
01/08/2023,English
02/08/2023,English
02/08/2023,Sinhala
02/08/2023,Tamil
03/08/2023,Sinhala
03/08/2023,English
04/08/2023,English
04/08/2023,Sinhala
04/08/2023,Tamil
05/08/2023,English
05/08/2023,Sinhala
06/08/2023,English
06/08/2023,Sinhala
07/08/2023,English
07/08/2023,Tamil
07/08/2023,Sinhala
08/08/2023,Sinhala
08/08/2023,English
09/08/2023,English
09/08/2023,Sinhala
10/08/2023,English
11/08/2023,English
11/08/2023,Sinhala
12/08/2023,English
12/08/2023,Sinhala
12/08/2023,Tamil
13/08/2023,English
13/08/2023,Sinhala
13/08/2023,Tamil
14/08/2023,English
14/08/2023,Tamil
14/08/2023,Sinhala
15/08/2023,English
15/08/2023,Sinhala
16/08/2023,English
16/08/2023,Tamil
17/08/2023,English
17/08/2023,Sinhala
18/08/2023,English
18/08/2023,Sinhala
19/08/2023,English
20/08/2023,English
20/08/2023,Sinhala
21/08/2023,English
21/08/2023,Sinhala
22/08/2023,Sinhala
22/08/2023,English
23/08/2023,English
23/08/2023,Sinhala
24/08/2023,English
24/08/2023,Sinhala
25/08/2023,English
25/08/2023,Sinhala
26/08/2023,English
27/08/2023,English
27/08/2023,Sinhala
28/08/2023,English
28/08/2023,Sinhala
29/08/2023,English
30/08/2023,Tamil
30/08/2023,English
30/08/2023,Sinhala
31/08/2023,English
31/08/2023,Sinhala
31/08/2023,Tamil
01/09/2023,English
01/09/2023,Sinhala
02/09/2023,English
02/09/2023,Sinhala
03/09/2023,English
04/09/2023,English
04/09/2023,Sinhala
05/09/2023,Sinhala
05/09/2023,English
05/09/2023,Tamil
06/09/2023,English
06/09/2023,Sinhala
07/09/2023,Sinhala
07/09/2023,English
07/09/2023,Tamil
08/09/2023,English
08/09/2023,Sinhala
09/09/2023,Sinhala
09/09/2023,English
10/09/2023,English
10/09/2023,Sinhala
11/09/2023,English
11/09/2023,Tamil
12/09/2023,English
12/09/2023,Sinhala
13/09/2023,Sinhala
13/09/2023,English
13/09/2023,Tamil
14/09/2023,English
14/09/2023,Sinhala
15/09/2023,English
15/09/2023,Tamil
15/09/2023,Sinhala
16/09/2023,English
16/09/2023,Sinhala
16/09/2023,Tamil
17/09/2023,English
17/09/2023,Sinhala
18/09/2023,English
18/09/2023,Sinhala
19/09/2023,Sinhala
19/09/2023,English
20/09/2023,English
20/09/2023,Sinhala
21/09/2023,English
21/09/2023,Tamil
21/09/2023,Sinhala
22/09/2023,English
22/09/2023,Sinhala
23/09/2023,English
23/09/2023,Tamil
23/09/2023,Sinhala
24/09/2023,Sinhala
24/09/2023,English
24/09/2023,Tamil
25/09/2023,Sinhala
25/09/2023,English
25/09/2023,Tamil
26/09/2023,English
26/09/2023,Sinhala
26/09/2023,Tamil
27/09/2023,English
27/09/2023,Sinhala
28/09/2023,English
28/09/2023,Sinhala
29/09/2023,English
29/09/2023,Sinhala
30/09/2023,English
30/09/2023,Sinhala
01/10/2023,English
01/10/2023,Sinhala
02/10/2023,Sinhala
02/10/2023,English
03/10/2023,English
03/10/2023,Tamil
04/10/2023,English
04/10/2023,Sinhala
05/10/2023,Sinhala
05/10/2023,English
06/10/2023,Tamil
06/10/2023,English
06/10/2023,Sinhala
07/10/2023,English
07/10/2023,Sinhala
08/10/2023,Tamil
08/10/2023,English
08/10/2023,Sinhala
09/10/2023,English
09/10/2023,Sinhala
10/10/2023,English
10/10/2023,Sinhala
11/10/2023,Sinhala
11/10/2023,English
12/10/2023,English
12/10/2023,Sinhala
13/10/2023,Sinhala
13/10/2023,English
13/10/2023,Tamil
14/10/2023,English
14/10/2023,Sinhala
14/10/2023,Tamil
15/10/2023,English
15/10/2023,Sinhala
16/10/2023,English
16/10/2023,Sinhala
16/10/2023,Tamil
17/10/2023,English
17/10/2023,Tamil
17/10/2023,Sinhala
18/10/2023,English
19/10/2023,Tamil
19/10/2023,English
19/10/2023,Sinhala
20/10/2023,English
20/10/2023,Sinhala
21/10/2023,English
21/10/2023,Sinhala
21/10/2023,Tamil
22/10/2023,English
22/10/2023,Sinhala
22/10/2023,Tamil
23/10/2023,English
23/10/2023,Sinhala
24/10/2023,English
24/10/2023,Sinhala
25/10/2023,Tamil
25/10/2023,English
25/10/2023,Sinhala
26/10/2023,Sinhala
26/10/2023,English
27/10/2023,English
27/10/2023,Sinhala
27/10/2023,Tamil
28/10/2023,Sinhala
28/10/2023,English
28/10/2023,Tamil
29/10/2023,Sinhala
29/10/2023,English
30/10/2023,English
31/10/2023,Sinhala
31/10/2023,English
01/11/2023,English
01/11/2023,Sinhala
02/11/2023,English
02/11/2023,Tamil
02/11/2023,Sinhala
03/11/2023,Sinhala
03/11/2023,Tamil
03/11/2023,English
04/11/2023,English
04/11/2023,Sinhala
05/11/2023,English
05/11/2023,Sinhala
05/11/2023,Tamil
06/11/2023,English
06/11/2023,Sinhala
07/11/2023,English
07/11/2023,Sinhala
07/11/2023,Tamil
08/11/2023,English
08/11/2023,Sinhala
08/11/2023,Tamil
09/11/2023,Sinhala
09/11/2023,English
10/11/2023,Sinhala
10/11/2023,English
11/11/2023,Tamil
11/11/2023,English
11/11/2023,Sinhala
12/11/2023,English
12/11/2023,Sinhala
13/11/2023,English
13/11/2023,Sinhala
14/11/2023,Sinhala
14/11/2023,English
14/11/2023,Tamil
15/11/2023,English
15/11/2023,Sinhala
16/11/2023,English
16/11/2023,Sinhala
17/11/2023,English
17/11/2023,Sinhala
18/11/2023,Sinhala
18/11/2023,English
18/11/2023,Tamil
19/11/2023,Sinhala
19/11/2023,English
20/11/2023,Sinhala
20/11/2023,English
20/11/2023,Tamil
21/11/2023,English
21/11/2023,Sinhala
22/11/2023,Sinhala
22/11/2023,Tamil
22/11/2023,English
23/11/2023,English
23/11/2023,Sinhala
24/11/2023,Sinhala
24/11/2023,English
25/11/2023,English
25/11/2023,Sinhala
26/11/2023,English
26/11/2023,Tamil
27/11/2023,Sinhala
27/11/2023,English
28/11/2023,Sinhala
28/11/2023,English
29/11/2023,Sinhala
29/11/2023,English
29/11/2023,Tamil
30/11/2023,Tamil
30/11/2023,English
30/11/2023,Sinhala
01/12/2023,Sinhala
01/12/2023,English
01/12/2023,Tamil
02/12/2023,Tamil
02/12/2023,English
02/12/2023,Sinhala
03/12/2023,English
03/12/2023,Tamil
03/12/2023,Sinhala
04/12/2023,Sinhala
04/12/2023,English
04/12/2023,Tamil
05/12/2023,English
05/12/2023,Tamil
06/12/2023,English
07/12/2023,Sinhala
07/12/2023,English
08/12/2023,Sinhala
08/12/2023,English
08/12/2023,Tamil
09/12/2023,Sinhala
09/12/2023,English
09/12/2023,Tamil
10/12/2023,English
10/12/2023,Sinhala
11/12/2023,English
11/12/2023,Sinhala
12/12/2023,Sinhala
12/12/2023,English
12/12/2023,Tamil
13/12/2023,English
13/12/2023,Sinhala
14/12/2023,Sinhala
14/12/2023,English
15/12/2023,Sinhala
15/12/2023,English
16/12/2023,English
16/12/2023,Tamil
16/12/2023,Sinhala
17/12/2023,English
17/12/2023,Sinhala
18/12/2023,Tamil
18/12/2023,English
18/12/2023,Sinhala
19/12/2023,Sinhala
19/12/2023,English
20/12/2023,English
20/12/2023,Sinhala
21/12/2023,Sinhala
21/12/2023,English
22/12/2023,Sinhala
22/12/2023,English
23/12/2023,Sinhala
23/12/2023,English
24/12/2023,English
24/12/2023,Sinhala
25/12/2023,English
25/12/2023,Tamil
25/12/2023,Sinhala
26/12/2023,English
26/12/2023,Sinhala
27/12/2023,Sinhala
27/12/2023,English
27/12/2023,Tamil
28/12/2023,English
28/12/2023,Sinhala
29/12/2023,English
30/12/2023,English
30/12/2023,Tamil
30/12/2023,Sinhala
31/12/2023,Sinhala
31/12/2023,English
